title,source_url,local_path,extraction_method,doi,journal,clean_path,cleaning_status,title_similarity
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,data\processed_text\Extraterrestrial Gynecology Could Spaceflight Incr.txt,HTML_EXTRACTION,10.3390/ijms23137465,Int J Mol Sci,data/clean_text/Extraterrestrial Gynecology Could Spaceflight Incr.txt,cleaned,1.0
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,data\processed_text\Muscle atrophy phenotype gene expression during sp.txt,HTML_EXTRACTION,10.1016/j.isci.2022.105213,iScience,data/clean_text/Muscle atrophy phenotype gene expression during sp.txt,cleaned,1.0
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,data\processed_text\Chromosomal positioning and epigenetic architectur.txt,HTML_EXTRACTION,10.1038/s41598-024-51756-7,Sci Rep,data/clean_text/Chromosomal positioning and epigenetic architectur.txt,cleaned,1.0
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,data\processed_text\A comprehensive SARSCoV2 and COVID19 review Part 2.txt,HTML_EXTRACTION,10.1038/s41431-023-01462-1,Eur J Hum Genet,data/clean_text/A comprehensive SARSCoV2 and COVID19 review Part 2.txt,cleaned,1.0
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,data\processed_text\Aging and putative frailty biomarkers are altered .txt,HTML_EXTRACTION,10.1038/s41598-024-57948-5,Sci Rep,data/clean_text/Aging and putative frailty biomarkers are altered .txt,cleaned,1.0
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,data\processed_text\Space radiation damage rescued by inhibition of ke.txt,HTML_EXTRACTION,10.1038/s41467-024-48920-y,Nat Commun,data/clean_text/Space radiation damage rescued by inhibition of ke.txt,cleaned,1.0
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,data\processed_text\Ethical considerations for the age of nongovernmen.txt,HTML_EXTRACTION,10.1038/s41467-023-44357-x,Nat Commun,data/clean_text/Ethical considerations for the age of nongovernmen.txt,cleaned,1.0
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,data\processed_text\Prolonged Exposure to Microgravity Reduces Cardiac.txt,HTML_EXTRACTION,10.1016/j.celrep.2020.108445,Cell Rep,data/clean_text/Prolonged Exposure to Microgravity Reduces Cardiac.txt,cleaned,1.0
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,data\processed_text\HLB1 Is a Tetratricopeptide Repeat DomainContainin.txt,HTML_EXTRACTION,10.1105/tpc.15.00794,Plant Cell,data/clean_text/HLB1 Is a Tetratricopeptide Repeat DomainContainin.txt,cleaned,1.0
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,data\processed_text\ERULUS is a plasma membranelocalized receptorlike .txt,HTML_EXTRACTION,10.1105/tpc.18.00316,letter,data/clean_text/ERULUS is a plasma membranelocalized receptorlike .txt,cleaned,1.0
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,data\processed_text\Brassinosteroids inhibit autotropic root straighte.txt,HTML_EXTRACTION,10.3389/fpls.2020.00005,Front Plant Sci,data/clean_text/Brassinosteroids inhibit autotropic root straighte.txt,cleaned,1.0
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,data\processed_text\Cell typespecific imaging of calcium signaling in .txt,HTML_EXTRACTION,10.3390/ijms21176385,Int J Mol Sci,data/clean_text/Cell typespecific imaging of calcium signaling in .txt,cleaned,1.0
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,data\processed_text\Spatial and temporal localization of SPIRRIG and W.txt,HTML_EXTRACTION,10.1093/plcell/koab115,Plant Cell,data/clean_text/Spatial and temporal localization of SPIRRIG and W.txt,cleaned,1.0
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,data\processed_text\S aureus MscL is a pentamer in vivo but of variabl.txt,HTML_EXTRACTION,10.1371/journal.pbio.1000555,PLoS Biol,data/clean_text/S aureus MscL is a pentamer in vivo but of variabl.txt,cleaned,1.0
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,data\processed_text\Manipulating the permeation of charged compounds t.txt,HTML_EXTRACTION,10.1096/fj.10-170076,FASEB J,data/clean_text/Manipulating the permeation of charged compounds t.txt,cleaned,1.0
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,data\processed_text\The oligomeric state of the truncated mechanosensi.txt,HTML_EXTRACTION,10.1002/pro.686,Protein Sci,data/clean_text/The oligomeric state of the truncated mechanosensi.txt,cleaned,1.0
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,data\processed_text\Three routes to modulate the pore size of the MscL.txt,HTML_EXTRACTION,10.1021/nn203703j,ACS Nano,data/clean_text/Three routes to modulate the pore size of the MscL.txt,cleaned,1.0
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,data\processed_text\The dynamics of proteinprotein interactions betwee.txt,HTML_EXTRACTION,10.4161/chan.20756,Channels (Austin),data/clean_text/The dynamics of proteinprotein interactions betwee.txt,cleaned,1.0
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,data\processed_text\The MscS and MscL families of mechanosensitive cha.txt,HTML_EXTRACTION,10.1128/JB.00576-12,J Bacteriol,data/clean_text/The MscS and MscL families of mechanosensitive cha.txt,cleaned,1.0
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,data\processed_text\Chimeras reveal a single lipidinterface residue th.txt,HTML_EXTRACTION,10.1016/j.celrep.2013.01.018,Cell Rep,data/clean_text/Chimeras reveal a single lipidinterface residue th.txt,cleaned,1.0
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,data\processed_text\Reply to Bemm et al and Arakawa Identifying foreig.txt,HTML_EXTRACTION,10.1073/pnas.1601149113,Proc Natl Acad Sci U S A,data/clean_text/Reply to Bemm et al and Arakawa Identifying foreig.txt,cleaned,1.0
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,data\processed_text\Tardigrades Use Intrinsically Disordered Proteins .txt,HTML_EXTRACTION,10.1038/s42003-024-06336-w,Commun Biol,data/clean_text/Tardigrades Use Intrinsically Disordered Proteins .txt,cleaned,0.608
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,data\processed_text\Production of reactive oxygen species and involvem.txt,HTML_EXTRACTION,10.1038/s41598-022-05734-6,Sci Rep,data/clean_text/Production of reactive oxygen species and involvem.txt,cleaned,1.0
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,data\processed_text\Partial weight suspension A novel murine model for.txt,HTML_EXTRACTION,10.1152/japplphysiol.00014.2009,J Appl Physiol (1985),data/clean_text/Partial weight suspension A novel murine model for.txt,cleaned,1.0
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,data\processed_text\Partial reductions in mechanical loading yield pro.txt,HTML_EXTRACTION,10.1002/jbmr.1814,J Bone Miner Res,data/clean_text/Partial reductions in mechanical loading yield pro.txt,cleaned,1.0
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,data\processed_text\Spaceflight and hind limb unloading induce similar.txt,HTML_EXTRACTION,,J Musculoskelet Neuronal Interact,data/clean_text/Spaceflight and hind limb unloading induce similar.txt,cleaned,1.0
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,data\processed_text\Treatment with a soluble bone morphogenetic protei.txt,HTML_EXTRACTION,10.1002/jbm4.10012,JBMR Plus,data/clean_text/Treatment with a soluble bone morphogenetic protei.txt,cleaned,1.0
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,data\processed_text\RNAseq and RNA molecular barcoding reveal differen.txt,HTML_EXTRACTION,10.1371/journal.pone.0250715,PLoS One,data/clean_text/RNAseq and RNA molecular barcoding reveal differen.txt,cleaned,1.0
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,data\processed_text\Proteomic and phosphoproteomic characterization of.txt,HTML_EXTRACTION,10.3389/fphys.2024.1248276,Front Physiol,data/clean_text/Proteomic and phosphoproteomic characterization of.txt,cleaned,1.0
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,data\processed_text\Adaptive Changes in the Vestibular System of Land .txt,HTML_EXTRACTION,10.3389/fncel.2017.00348,Front Cell Neurosci,data/clean_text/Adaptive Changes in the Vestibular System of Land .txt,cleaned,1.0
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,data\processed_text\Morphology of the Utricular Otolith Organ in the T.txt,HTML_EXTRACTION,10.1002/cne.24429,J Comp Neurol,data/clean_text/Morphology of the Utricular Otolith Organ in the T.txt,cleaned,1.0
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,data\processed_text\Influence of Magnitude and Duration of Altered Gra.txt,HTML_EXTRACTION,10.3389/fphys.2018.01469,Front Physiol,data/clean_text/Influence of Magnitude and Duration of Altered Gra.txt,cleaned,0.989
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,data\processed_text\Organization of the ERGolgi interface for membrane.txt,HTML_EXTRACTION,10.1038/nrm3588,Nat Rev Mol Cell Biol,data/clean_text/Organization of the ERGolgi interface for membrane.txt,cleaned,1.0
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,data\processed_text\IRE1 ER stress sensor and cell fate executor.txt,HTML_EXTRACTION,10.1016/j.tcb.2013.06.005,Trends Cell Biol,data/clean_text/IRE1 ER stress sensor and cell fate executor.txt,cleaned,1.0
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,data\processed_text\Interregulation of the unfolded protein response a.txt,HTML_EXTRACTION,10.1111/tpj.12373,Plant J,data/clean_text/Interregulation of the unfolded protein response a.txt,cleaned,1.0
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,data\processed_text\Endoplasmic reticulumshape and function in stress .txt,HTML_EXTRACTION,10.3389/fpls.2014.00425,editorial,data/clean_text/Endoplasmic reticulumshape and function in stress .txt,cleaned,1.0
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,data\processed_text\Galactosedepleted xycoglucan is dysfunctional and .txt,HTML_EXTRACTION,10.1104/pp.114.255943,Plant Physiol,data/clean_text/Galactosedepleted xycoglucan is dysfunctional and .txt,cleaned,0.988
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,data\processed_text\Unfolded protein response in plants one master man.txt,HTML_EXTRACTION,10.1016/j.pbi.2015.05.016,Curr Opin Plant Biol,data/clean_text/Unfolded protein response in plants one master man.txt,cleaned,1.0
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,data\processed_text\Vesicles versus Tubes Is Endoplasmic ReticulumGolg.txt,HTML_EXTRACTION,10.1104/pp.15.00124,Plant Physiol,data/clean_text/Vesicles versus Tubes Is Endoplasmic ReticulumGolg.txt,cleaned,1.0
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,data\processed_text\Pectin methylesterification impacts the relationsh.txt,HTML_EXTRACTION,10.1104/pp.16.00173,Plant Physiol,data/clean_text/Pectin methylesterification impacts the relationsh.txt,cleaned,1.0
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,data\processed_text\Reduced Chloroplast Coverage genes from Arabidopsi.txt,HTML_EXTRACTION,10.1073/pnas.1515741113,Proc Natl Acad Sci U S A,data/clean_text/Reduced Chloroplast Coverage genes from Arabidopsi.txt,cleaned,1.0
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,data\processed_text\Maintaining the factory The roles of the unfolded .txt,HTML_EXTRACTION,10.1111/tpj.13449,Plant J,data/clean_text/Maintaining the factory The roles of the unfolded .txt,cleaned,1.0
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,data\processed_text\NADPH oxidase activity is required for ER stress s.txt,HTML_EXTRACTION,10.1111/tpj.14091,Plant J,data/clean_text/NADPH oxidase activity is required for ER stress s.txt,cleaned,1.0
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,data\processed_text\Relevance of the Unfolded Protein Response to Spac.txt,HTML_EXTRACTION,10.1089/ast.2020.2313,Astrobiology,data/clean_text/Relevance of the Unfolded Protein Response to Spac.txt,cleaned,1.0
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,data\processed_text\Reanalysis of the Mars500 experiment reveals commo.txt,HTML_EXTRACTION,10.1016/j.csbj.2021.03.040,Comput Struct Biotechnol J,data/clean_text/Reanalysis of the Mars500 experiment reveals commo.txt,cleaned,1.0
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,data\processed_text\Genomic stability in response to high versus low l.txt,HTML_EXTRACTION,10.3389/fpls.2014.00206,Front Plant Sci,data/clean_text/Genomic stability in response to high versus low l.txt,cleaned,1.0
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,data\processed_text\Acceleration profiles and processing methods for p.txt,HTML_EXTRACTION,10.1038/s41526-018-0050-3,NPJ Microgravity,data/clean_text/Acceleration profiles and processing methods for p.txt,cleaned,1.0
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,data\processed_text\Cytoskeleton structure and total methylation of mo.txt,HTML_EXTRACTION,10.1371/journal.pone.0192643,PLoS One,data/clean_text/Cytoskeleton structure and total methylation of mo.txt,cleaned,1.0
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,data\processed_text\Toward countering muscle and bone loss with spacef.txt,HTML_EXTRACTION,10.1016/j.isci.2023.107047,iScience,data/clean_text/Toward countering muscle and bone loss with spacef.txt,cleaned,1.0
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,data\processed_text\Cardiovascular progenitor cells cultured aboard th.txt,HTML_EXTRACTION,10.1038/s41526-018-0048-x,NPJ Microgravity,data/clean_text/Cardiovascular progenitor cells cultured aboard th.txt,cleaned,1.0
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,data\processed_text\Interagency perspective Translating advances in bi.txt,HTML_EXTRACTION,10.1016/j.lssr.2022.06.004,Life Sci Space Res (Amst),data/clean_text/Interagency perspective Translating advances in bi.txt,cleaned,1.0
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,data\processed_text\Genomic and functional characterization of Enteroc.txt,HTML_EXTRACTION,10.3389/fmicb.2020.515319,Front Microbiol,data/clean_text/Genomic and functional characterization of Enteroc.txt,cleaned,1.0
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,data\processed_text\Evaluation of in vitro macrophage differentiation .txt,HTML_EXTRACTION,10.1016/j.asr.2012.02.021,Adv Space Res,data/clean_text/Evaluation of in vitro macrophage differentiation .txt,cleaned,1.0
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,data\processed_text\Ehrlichia chaffeensis replication sites in adult D.txt,HTML_EXTRACTION,10.1016/j.ijmm.2012.12.002,Int J Med Microbiol,data/clean_text/Ehrlichia chaffeensis replication sites in adult D.txt,cleaned,1.0
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,data\processed_text\Understanding macrophage differentiation during sp.txt,HTML_EXTRACTION,10.2174/18776116112029990011,Recent Pat Space Technol,data/clean_text/Understanding macrophage differentiation during sp.txt,cleaned,1.0
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,data\processed_text\Bone marrow leptin signaling mediates obesityassoc.txt,HTML_EXTRACTION,10.1210/en.2013-1607,Endocrinology,data/clean_text/Bone marrow leptin signaling mediates obesityassoc.txt,cleaned,1.0
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,data\processed_text\Establishment and characterization of DB1 a leptin.txt,HTML_EXTRACTION,10.1007/s10616-015-9843-3,Cytotechnology,data/clean_text/Establishment and characterization of DB1 a leptin.txt,cleaned,1.0
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,data\processed_text\Validation of methods to assess the immunoglobulin.txt,HTML_EXTRACTION,,Gravit Space Res,data/clean_text/Validation of methods to assess the immunoglobulin.txt,cleaned,1.0
