file_name,status,chars_before,chars_after,pct_removed,removed_header,removed_backmatter,removed_sections,removed_boilerplate,sections_removed,doi,journal,internal_title,title_similarity,title_mismatch,note
Functional redundancy between transGolgi network S.txt,excluded_title_mismatch,48077,0,100.0,2434,12362,0,3229,,10.5511/plantbiotechnology.23.1214a,Plant Biotechnol (Tokyo),Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,0.422,True,"título divergente (sim=0.42): metadata diz 'Functional redundancy between trans-Golg', documento é 'Identification of a novel Golgi-localize'"
Root growth movements Waving and skewing.txt,excluded_title_mismatch,65049,0,100.0,1988,18073,0,3805,,10.1186/s12870-017-1024-4,BMC Plant Biol,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",0.185,True,"título divergente (sim=0.18): metadata diz 'Root growth movements: Waving and skewin', documento é 'TNO1, a TGN-localized SNARE-interacting '"
Gravitropism and lateral root emergence are depend.txt,cleaned,67467,44509,34.03,1799,16588,354,4218,Author contributions|Competing interests,10.3389/fpls.2015.00969,Front Plant Sci,Gravitropism and Lateral Root Emergence are Dependent on the Trans -Golgi Network Protein TNO1,0.989,False,
TNO1 a TGNlocalized SNAREinteracting protein modul.txt,cleaned,65049,41184,36.69,1988,18073,0,3805,,10.1186/s12870-017-1024-4,BMC Plant Biol,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",1.0,False,
The Drosophila SUN protein Spag4 cooperates with t.txt,cleaned,70279,51396,26.87,3020,12670,91,3103,Supplementary,10.1242/jcs.066589,J Cell Sci,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,1.0,False,
Toll mediated infection response is altered by gra.txt,cleaned,59591,37624,36.86,5040,13000,0,3928,,10.1371/journal.pone.0086485,PLoS One,Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,1.0,False,
Multiomics analysis of multiple missions to space .txt,excluded,5447,0,100.0,0,0,0,420,,10.1038/s41598-020-58490-w,Sci Rep,Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,0.8,False,documento não-científico: Author Correction: Multi-omics analysis of multiple missions
GeneLab database analyses suggest longterm impact .txt,cleaned,80316,52543,34.58,1809,21253,0,4712,,10.3390/ijms20030661,Int J Mol Sci,GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,1.0,False,
FAIRness and usability for openaccess omics data s.txt,cleaned,39713,31139,21.59,828,5899,0,1848,,,AMIA Annu Symp Proc,FAIRness and Usability for Open-access Omics Data Systems,1.0,False,
NASA GeneLab platform utilized for biological resp.txt,cleaned,91008,51769,43.12,4375,24121,5314,5430,Supplementary|Author contributions|Funding,10.3390/cancers12020381,Cancers (Basel),NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,1.0,False,
Circulating miRNA spaceflight signature reveals ta.txt,cleaned,131426,87643,33.31,10831,19930,7991,5032,Supplementary,10.1016/j.celrep.2020.108448,Cell Rep,Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,1.0,False,
Machine learning algorithm to characterize antimic.txt,cleaned,61469,24835,59.6,4723,20988,7284,3640,Supplementary|Data availability|Supplementary,10.1186/s40168-022-01332-w,Microbiome,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,1.0,False,
Extraterrestrial Gynecology Could Spaceflight Incr.txt,cleaned,152281,89290,41.36,8757,43104,1725,9406,Author contributions|Data availability|Funding|Footnotes,10.3390/ijms23137465,Int J Mol Sci,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,1.0,False,
Muscle atrophy phenotype gene expression during sp.txt,cleaned,68357,44111,35.47,3354,17347,0,3546,,10.1016/j.isci.2022.105213,iScience,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,1.0,False,
Chromosomal positioning and epigenetic architectur.txt,cleaned,69833,49707,28.82,2718,12288,1728,3393,Supplementary|Author contributions|Funding|Data availability|Competing interests|Footnotes|Supplementary,10.1038/s41598-024-51756-7,Sci Rep,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,1.0,False,
A comprehensive SARSCoV2 and COVID19 review Part 2.txt,cleaned,85125,50204,41.02,10733,19042,0,5147,,10.1038/s41431-023-01462-1,Eur J Hum Genet,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection",1.0,False,
Aging and putative frailty biomarkers are altered .txt,cleaned,109038,67124,38.44,10938,24974,224,5779,Supplementary,10.1038/s41598-024-57948-5,Sci Rep,Aging and putative frailty biomarkers are altered by spaceflight,1.0,False,
Space radiation damage rescued by inhibition of ke.txt,cleaned,146235,97819,33.11,11665,29740,327,6685,Supplementary|Supplementary,10.1038/s41467-024-48920-y,Nat Commun,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,1.0,False,
Ethical considerations for the age of nongovernmen.txt,cleaned,66199,38984,41.11,7314,16904,0,2998,,10.1038/s41467-023-44357-x,Nat Commun,Ethical considerations for the age of non-governmental space exploration,1.0,False,
Innate immune responses of Drosophila melanogaster.txt,excluded_title_mismatch,64591,0,100.0,2583,15526,97,3649,Supplementary|Supplementary,10.1038/s41526-019-0091-2,NPJ Microgravity,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model,0.132,True,"título divergente (sim=0.13): metadata diz 'Innate immune responses of Drosophila me', documento é 'Spaceflight and simulated microgravity c'"
Prolonged Exposure to Microgravity Reduces Cardiac.txt,cleaned,72992,53689,26.45,5202,8564,2891,2647,Supplementary,10.1016/j.celrep.2020.108445,Cell Rep,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,1.0,False,
Regulation of plant gravity sensing and signaling .txt,excluded_title_mismatch,103205,0,100.0,0,0,0,7683,,10.3389/fpls.2021.777119,Front Plant Sci,Bundling up the Role of the Actin Cytoskeleton in Primary Root Growth,0.431,True,"título divergente (sim=0.43): metadata diz 'Regulation of plant gravity sensing and ', documento é 'Bundling up the Role of the Actin Cytosk'"
HLB1 Is a Tetratricopeptide Repeat DomainContainin.txt,cleaned,133013,97364,26.8,2082,26806,81,6681,Supplementary,10.1105/tpc.15.00794,Plant Cell,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis [OPEN],1.0,False,
ERULUS is a plasma membranelocalized receptorlike .txt,cleaned,19129,12634,33.95,1056,4115,0,1325,,10.1105/tpc.18.00316,letter,ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations [OPEN],1.0,False,
Brassinosteroids inhibit autotropic root straighte.txt,cleaned,79845,56732,28.95,2734,15895,971,3514,Data availability|Supplementary|Author contributions|Funding|Competing interests,10.3389/fpls.2020.00005,Front Plant Sci,Brassinosteroids Inhibit Autotropic Root Straightening by Modifying Filamentous-Actin Organization and Dynamics,1.0,False,
Cell typespecific imaging of calcium signaling in .txt,cleaned,59141,45552,22.98,1258,8263,1536,2533,Supplementary|Author contributions|Funding,10.3390/ijms21176385,Int J Mol Sci,Cell Type-Specific Imaging of Calcium Signaling in Arabidopsis thaliana Seedling Roots Using GCaMP3,1.0,False,
Spatial and temporal localization of SPIRRIG and W.txt,cleaned,96432,69335,28.1,2899,19182,101,4916,Supplementary,10.1093/plcell/koab115,Plant Cell,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development,1.0,False,
Microgravity Stress Bone and Connective Tissue.txt,excluded_title_mismatch,69467,0,100.0,10702,9826,102,2699,Supplementary,10.1038/s41598-024-79315-0,Sci Rep,Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel,0.382,True,"título divergente (sim=0.38): metadata diz 'Microgravity Stress: Bone and Connective', documento é 'Impact of microgravity and lunar gravity'"
S aureus MscL is a pentamer in vivo but of variabl.txt,cleaned,45205,32442,28.23,2704,8327,0,1733,,10.1371/journal.pbio.1000555,PLoS Biol,S. aureus MscL Is a Pentamer In Vivo but of Variable Stoichiometries In Vitro: Implications for Detergent-Solubilized Membrane Proteins,1.0,False,
Manipulating the permeation of charged compounds t.txt,cleaned,38730,27623,28.68,809,8143,80,2076,Supplementary,10.1096/fj.10-170076,FASEB J,Manipulating the permeation of charged compounds through the MscL nanovalve,1.0,False,
The oligomeric state of the truncated mechanosensi.txt,cleaned,20529,14568,29.04,1370,3409,59,1124,Supplementary,10.1002/pro.686,Protein Sci,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo,1.0,False,
Three routes to modulate the pore size of the MscL.txt,cleaned,44455,31572,28.98,1545,9018,0,2321,,10.1021/nn203703j,ACS Nano,Three Routes to Modulate the Pore Size of the MscL Channel/Nanovalve,1.0,False,
The dynamics of proteinprotein interactions betwee.txt,cleaned,34125,23631,30.75,772,7722,0,2001,,10.4161/chan.20756,Channels (Austin),The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,1.0,False,
The MscS and MscL families of mechanosensitive cha.txt,cleaned,55488,35370,36.26,850,14826,0,4443,,10.1128/JB.00576-12,J Bacteriol,The MscS and MscL Families of Mechanosensitive Channels Act as Microbial Emergency Release Valves,1.0,False,
Chimeras reveal a single lipidinterface residue th.txt,cleaned,43320,29477,31.96,1073,10307,401,2063,Supplementary,10.1016/j.celrep.2013.01.018,Cell Rep,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,1.0,False,
Evidence for extensive horizontal gene transfer fr.txt,excluded,1564,0,100.0,0,0,0,258,,10.1073/pnas.1613046113,Proc Natl Acad Sci U S A,"Correction for Boothby et al., Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade Article notes Copyright and License information Issue date 2016 Sep 6. PMC Copyright notice PMCID: PMC5018776  PMID: 27551073 This corrects the article "" Evidence for extensive horizo",0.697,False,"documento não-científico: Correction for Boothby et al., Evidence for extensive horizo"
Reply to Bemm et al and Arakawa Identifying foreig.txt,cleaned,14856,10015,32.59,755,2710,246,1131,Footnotes,10.1073/pnas.1601149113,Proc Natl Acad Sci U S A,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,1.0,False,
Tardigrades Use Intrinsically Disordered Proteins .txt,cleaned,59878,46325,22.63,2694,8739,251,1870,Supplementary|Supplementary,10.1038/s42003-024-06336-w,Commun Biol,Tardigrade secretory proteins protect biological structures from desiccation,0.608,False,
Desiccation of Hypsibius exemplaris.txt,excluded,1910,0,100.0,0,0,0,207,,10.1093/gbe/evaf018,Genome Biol Evol,Correction to: The Evolution of Temperature and Desiccation-Related Protein Families in Tardigrada Reveals a Complex Acquisition of Extremotolerance Article notes Copyright and License information Collection date 2025 Feb. © The Author(s) 2025. Published by Oxford University Press on behalf of Socie,0.32,True,documento não-científico: Correction to: The Evolution of Temperature and Desiccation-
The biology of tardigrade disordered proteins in e.txt,excluded_title_mismatch,58625,0,100.0,4772,15096,0,2426,,10.1247/csf.24035,Cell Struct Funct,Possible roles of CAHS proteins from Tardigrade in osmotic stress tolerance in mammalian cells,0.491,True,"título divergente (sim=0.49): metadata diz 'The biology of tardigrade disordered pro', documento é 'Possible roles of CAHS proteins from Tar'"
Production of reactive oxygen species and involvem.txt,cleaned,66929,43385,35.18,2486,17173,67,3819,Supplementary,10.1038/s41598-022-05734-6,Sci Rep,Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,1.0,False,
Partial weight suspension A novel murine model for.txt,cleaned,50543,40946,18.99,2012,5977,0,1609,,10.1152/japplphysiol.00014.2009,J Appl Physiol (1985),Partial weight suspension: a novel murine model for investigating adaptation to reduced musculoskeletal loading,1.0,False,
Partial reductions in mechanical loading yield pro.txt,cleaned,51054,39556,22.52,2678,7260,0,1561,,10.1002/jbmr.1814,J Bone Miner Res,"Partial Reductions in Mechanical Loading Yield Proportional Changes in Bone Density, Bone Architecture, and Muscle Mass",1.0,False,
Spaceflight and hind limb unloading induce similar.txt,cleaned,30625,20110,34.33,2205,6657,0,1654,,,J Musculoskelet Neuronal Interact,Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,1.0,False,
Spaceflight Activates Lipotoxic Pathways in Mouse .txt,excluded_title_mismatch,73036,0,100.0,3496,14979,61,4036,Supplementary,10.1038/s41598-019-55869-2,Sci Rep,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,0.29,True,"título divergente (sim=0.29): metadata diz 'Spaceflight Activates Lipotoxic Pathways', documento é 'Multi-omics analysis of multiple mission'"
Treatment with a soluble bone morphogenetic protei.txt,cleaned,33086,23456,29.11,3228,4941,0,1462,,10.1002/jbm4.10012,JBMR Plus,Treatment With a Soluble Bone Morphogenetic Protein Type 1A Receptor (BMPR1A) Fusion Protein Increases Bone Mass and Bone Formation in Mice Subjected to Hindlimb Unloading,1.0,False,
RNAseq and RNA molecular barcoding reveal differen.txt,cleaned,32913,16458,50.0,3657,10042,530,2227,Data availability|Funding,10.1371/journal.pone.0250715,PLoS One,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,1.0,False,
Proteomic and phosphoproteomic characterization of.txt,cleaned,77504,53473,31.01,3635,17722,0,2675,,10.3389/fphys.2024.1248276,Front Physiol,Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,1.0,False,
Adaptive Changes in the Vestibular System of Land .txt,cleaned,94176,73545,21.91,4270,12856,656,2850,Author contributions|Competing interests,10.3389/fncel.2017.00348,Front Cell Neurosci,Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,1.0,False,
Morphology of the Utricular Otolith Organ in the T.txt,cleaned,100961,71897,28.79,1974,22403,0,4688,,10.1002/cne.24429,J Comp Neurol,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",1.0,False,
Influence of Magnitude and Duration of Altered Gra.txt,cleaned,131865,96706,26.66,2198,26494,525,5943,Author contributions|Competing interests,10.3389/fphys.2018.01469,Front Physiol,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1 g on the Structure and Function of the Utricle in Toadfish, Opsanus tau",0.989,False,
Organization of the ERGolgi interface for membrane.txt,cleaned,84441,45920,45.62,1034,28595,1764,7129,Acknowledgments|Footnotes|Competing interests,10.1038/nrm3588,Nat Rev Mol Cell Biol,Organization of the ER–Golgi interface for membrane traffic control,1.0,False,
IRE1 ER stress sensor and cell fate executor.txt,cleaned,53748,30823,42.65,1018,17192,0,4716,,10.1016/j.tcb.2013.06.005,Trends Cell Biol,IRE1: ER stress sensor and cell fate executor,1.0,False,
Interregulation of the unfolded protein response a.txt,cleaned,58715,38645,34.18,2223,13825,1239,2784,Supplementary,10.1111/tpj.12373,Plant J,INTER-REGULATION OF THE UNFOLDED PROTEIN RESPONSE AND AUXIN SIGNALING,1.0,False,
Endoplasmic reticulumshape and function in stress .txt,cleaned,13088,7635,41.66,2028,2263,204,959,Competing interests,10.3389/fpls.2014.00425,editorial,Endoplasmic reticulum—shape and function in stress translation,1.0,False,
Galactosedepleted xycoglucan is dysfunctional and .txt,cleaned,72436,46928,35.21,11607,11049,83,2770,Supplementary,10.1104/pp.114.255943,Plant Physiol,Galactose-Depleted Xyloglucan Is Dysfunctional and Leads to Dwarfism in Arabidopsis,0.988,False,
Unfolded protein response in plants one master man.txt,cleaned,41042,20675,49.62,1577,15738,0,3053,,10.1016/j.pbi.2015.05.016,Curr Opin Plant Biol,"Unfolded protein response in plants: one master, many questions",1.0,False,
Vesicles versus Tubes Is Endoplasmic ReticulumGolg.txt,cleaned,87809,61923,29.48,4098,16795,285,4709,Footnotes,10.1104/pp.15.00124,Plant Physiol,Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,1.0,False,
Pectin methylesterification impacts the relationsh.txt,cleaned,77873,65364,16.06,3955,6873,82,1600,Supplementary,10.1104/pp.16.00173,Plant Physiol,Pectin Methylesterification Impacts the Relationship between Photosynthesis and Plant Growth,1.0,False,
Reduced Chloroplast Coverage genes from Arabidopsi.txt,cleaned,80446,59378,26.19,4381,13091,189,3408,Supplementary,10.1073/pnas.1515741113,Proc Natl Acad Sci U S A,REDUCED CHLOROPLAST COVERAGE genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,1.0,False,
Maintaining the factory The roles of the unfolded .txt,cleaned,84731,44180,47.86,1615,31850,0,7087,,10.1111/tpj.13449,Plant J,Maintaining the Factory: The Roles of the Unfolded Protein Response in Cellular Homeostasis in Plants,1.0,False,
NADPH oxidase activity is required for ER stress s.txt,cleaned,75483,55691,26.22,1278,14842,0,3673,,10.1111/tpj.14091,Plant J,NADPH Oxidase activity is required for ER stress survival in plants,1.0,False,
Relevance of the Unfolded Protein Response to Spac.txt,cleaned,63369,45607,28.03,1838,11577,1170,3178,Supplementary,10.1089/ast.2020.2313,Astrobiology,Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,1.0,False,
Reanalysis of the Mars500 experiment reveals commo.txt,cleaned,75177,42877,42.97,1712,24889,483,5217,Funding|Author contributions,10.1016/j.csbj.2021.03.040,Comput Struct Biotechnol J,Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,1.0,False,
High atomic weight highenergy radiation HZE induce.txt,excluded,3358,0,100.0,0,0,0,309,,10.3389/fpls.2016.01753,Front Plant Sci,"Corrigendum: High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core “DSB” response specific to clastogenic treatments",0.867,False,"documento não-científico: Corrigendum: High atomic weight, high-energy radiation (HZE)"
Genomic stability in response to high versus low l.txt,cleaned,42438,27253,35.78,2390,10080,204,2512,Competing interests,10.3389/fpls.2014.00206,Front Plant Sci,Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,1.0,False,
Acceleration profiles and processing methods for p.txt,cleaned,25126,18930,24.66,2503,2819,283,592,Data availability,10.1038/s41526-018-0050-3,NPJ Microgravity,Acceleration profiles and processing methods for parabolic flight,1.0,False,
Cytoskeleton structure and total methylation of mo.txt,cleaned,63869,40131,37.17,2553,17779,0,3407,,10.1371/journal.pone.0192643,PLoS One,Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight,1.0,False,
Toward countering muscle and bone loss with spacef.txt,cleaned,72964,50167,31.24,3940,15695,0,3163,,10.1016/j.isci.2023.107047,iScience,Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,1.0,False,
Cardiovascular progenitor cells cultured aboard th.txt,cleaned,68630,52166,23.99,2882,10536,399,2648,Data availability,10.1038/s41526-018-0048-x,NPJ Microgravity,Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,1.0,False,
Interagency perspective Translating advances in bi.txt,cleaned,86994,52999,39.08,2235,24382,1104,6275,Footnotes,10.1016/j.lssr.2022.06.004,Life Sci Space Res (Amst),Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,1.0,False,
Genomic and functional characterization of Enteroc.txt,cleaned,79747,36993,53.61,2896,20805,14900,4154,Supplementary|Data availability|Author contributions|Competing interests,10.3389/fmicb.2020.515319,Front Microbiol,Genomic and Functional Characterization of Enterococcus faecalis Isolates Recovered From the International Space Station and Their Potential for Pathogenicity,1.0,False,
Evaluation of in vitro macrophage differentiation .txt,cleaned,75685,52797,30.24,1063,18116,121,3589,Supplementary,10.1016/j.asr.2012.02.021,Adv Space Res,Evaluation of in vitro macrophage differentiation during space flight,1.0,False,
Ehrlichia chaffeensis replication sites in adult D.txt,cleaned,54341,38304,29.51,1197,12055,0,2786,,10.1016/j.ijmm.2012.12.002,Int J Med Microbiol,Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster,1.0,False,
Development and characterization of two porcine mo.txt,excluded_title_mismatch,63221,0,100.0,2749,9989,5779,2447,Supplementary|Author contributions|Funding|Data availability|Competing interests|Footnotes|Contributor Information,10.1186/s12985-024-02374-2,Virol J,"Antiviral screening of natural, anti-inflammatory compound library against African swine fever virus",0.24,True,"título divergente (sim=0.24): metadata diz 'Development and characterization of two ', documento é 'Antiviral screening of natural, anti-inf'"
Understanding macrophage differentiation during sp.txt,cleaned,38346,22344,41.73,954,12787,0,2262,,10.2174/18776116112029990011,Recent Pat Space Technol,Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,1.0,False,
Bone marrow leptin signaling mediates obesityassoc.txt,cleaned,33157,20142,39.25,1728,8748,0,2540,,10.1210/en.2013-1607,Endocrinology,Bone Marrow Leptin Signaling Mediates Obesity-Associated Adipose Tissue Inflammation in Male Mice,1.0,False,
Establishment and characterization of DB1 a leptin.txt,cleaned,51553,35232,31.66,1235,12264,0,2823,,10.1007/s10616-015-9843-3,Cytotechnology,Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,1.0,False,
Validation of methods to assess the immunoglobulin.txt,cleaned,61780,44505,27.96,1088,13361,0,2827,,,Gravit Space Res,Validation of Methods to Assess the Immunoglobulin Gene Repertoire in Tissues Obtained from Mice on the International Space Station,1.0,False,
Characterization of the naive murine antibody repe.txt,cleaned,67117,42602,36.53,3290,17822,0,3404,,10.1371/journal.pone.0190982,PLoS One,Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,1.0,False,
Effects of spaceflight on the immunoglobulin reper.txt,cleaned,80287,52790,34.25,1662,20569,752,4515,Supplementary|Footnotes,10.1016/j.lssr.2017.11.003,Life Sci Space Res (Amst),Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,1.0,False,
A comparison of unamplified and massively multiple.txt,cleaned,55390,39289,29.07,1297,11859,87,2859,Supplementary,,FASEB Bioadv,A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing,1.0,False,
Effects of skeletal unloading on the antibody repe.txt,excluded_title_mismatch,70650,0,100.0,2511,19098,182,3712,Data availability,10.1016/j.omtm.2025.101424,Mol Ther Methods Clin Dev,"Preclinical development of TAK-754, a high-performance AAV8-based vector expressing coagulation factor VIII",0.333,True,"título divergente (sim=0.33): metadata diz 'Effects of skeletal unloading on the ant', documento é 'Preclinical development of TAK-754, a hi'"
Effects of skeletal unloading on the bone marrow a.txt,excluded_title_mismatch,70650,0,100.0,2511,19098,182,3712,Data availability,10.1016/j.omtm.2025.101424,Mol Ther Methods Clin Dev,"Preclinical development of TAK-754, a high-performance AAV8-based vector expressing coagulation factor VIII",0.289,True,"título divergente (sim=0.29): metadata diz 'Effects of skeletal unloading on the bon', documento é 'Preclinical development of TAK-754, a hi'"
An Analysis of the Effects of Spaceflight and Vacc.txt,cleaned,49946,36195,27.53,2048,9227,0,2477,,10.4049/immunohorizons.2100056,Immunohorizons,An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,1.0,False,
Effects of spaceflight aboard the International Sp.txt,cleaned,41630,29780,28.47,2614,7262,116,1859,Supplementary,10.1038/s41526-021-00139-7,NPJ Microgravity,Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,1.0,False,
Effect of spaceflight on Pseudomonas aeruginosa fi.txt,cleaned,54946,36742,33.13,3989,10565,963,2688,Competing interests|Supplementary|Contributor Information,10.1186/1471-2180-13-241,BMC Microbiol,Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability,1.0,False,
